mon_pluviometrico_hist_chuva_mm;RAI;SPI;Data;mon_pluviometrico_hist_chuva_mm_scale_12
30;1.9674117970245086;0.907381606412583;2022-01-31;2085.717438180431
20;1.9453796959826615;0.9017049280380556;2022-02-28;2091.624695850298
10;3.2894235080025735;1.2628405649299586;2022-03-31;2287.8667809246435
10;2.476723074598979;0.9912214535402849;2022-04-30;2089.9293691045796
10;3.8458293762222584;1.3800080634754717;2022-05-31;2283.49848259978
10;6.332143710885705;1.9739732226468707;2022-06-30;2593.094664135636
10;6.030417828680126;2.0166486610066836;2022-07-31;2658.956994739814
10;4.966300301000718;1.7909874492383835;2022-08-31;2530.9569178430265
10;4.532900094146016;1.7029329950703904;2022-09-30;2540.5324439111614
10;4.686182656892522;1.735337304764995;2022-10-31;2555.203988236401
10;4.755736833049564;1.7734640308278713;2022-11-30;2615.1142545642765
10;4.469619705015687;1.6719012509074611;2022-12-31;2567.6005575945796
10;4.4514123609751115;1.6120621878069417;2023-01-31;2492.6305782985132
10;4.966552070612446;1.7405282371059754;2023-02-28;2597.6283004695533
